Filter_1,Filter_1_1,Filter_1_2,Year,Batch,Number,Individual_Total,Individual_Treat,Phase,Species,Treatment,Treatment_Name,Resting_seconds,Active_seconds,vid_length,Resting_prop,Active_prop,Resting_entries,Active_entries,Resting_first_entry_time,Active_first_entry_time,Active_per_period,Diff_Activity,Change_Activity
1,1,0,21,2,2381,87,18,1,RT,BFT,Treat(Fresh)Pre,272.597,27.403,300,0.909,0.091,11,10,0,43,2.7403,NA,NA
1,1,0,21,2,2382,87,18,2,RT,BFT,Treat(Fresh)Stim,294.36,5.64,300,0.9812,0.0188,3,2,0,224.56,2.82,-21.763,-0.794183
1,1,0,21,2,2383,87,18,3,RT,BFT,Treat(Fresh)Post,296.676,3.324,300,0.989,0.011,2,1,0,165.301,3.324,-24.079,-0.878699
1,1,0,21,2,2384,88,19,1,RT,BFT,Treat(Fresh)Pre,293.62,6.38,300,0.979,0.021,4,3,0,54.401,2.126667,NA,NA
1,1,0,21,2,2385,88,19,2,RT,BFT,Treat(Fresh)Stim,300,0,300,1,0,1,0,0,NA,0,-6.38,-1
1,1,0,21,2,2386,88,19,3,RT,BFT,Treat(Fresh)Post,298.983,1.017,300,0.997,0.003,2,1,0,237.283,1.017,-5.363,-0.840596
1,1,0,21,2,2387,89,20,1,RT,BFT,Treat(Fresh)Pre,276.42,23.58,300,0.921,0.079,12,11,0,35.641,2.143636,NA,NA
1,1,0,21,2,2388,89,20,2,RT,BFT,Treat(Fresh)Stim,290.794,9.206,300,0.969313,0.030687,8,7,0,5.6,1.315143,-14.374,-0.609584
1,1,0,21,2,2389,89,20,3,RT,BFT,Treat(Fresh)Post,286.403,13.597,300,0.955,0.045,9,8,0,40.821,1.699625,-9.983,-0.423367
1,1,0,21,3,2390,90,21,1,RT,BFT,Treat(Fresh)Pre,263.66,36.34,300,0.879,0.121,18,17,0,1.202,2.137647,NA,NA
1,1,0,21,3,2391,90,21,2,RT,BFT,Treat(Fresh)Stim,294.632,5.369,300.001,0.982103,0.017897,4,3,0,128.539,1.789667,-30.971,-0.852256
1,1,0,21,3,2392,90,21,3,RT,BFT,Treat(Fresh)Post,292.825,7.175,300,0.976,0.024,4,3,0,52.145,2.391667,-29.165,-0.802559
1,1,0,21,3,2393,91,22,1,RT,BFT,Treat(Fresh)Pre,257.495,42.505,300,0.858,0.142,20,19,0,35.505,2.237105,NA,NA
1,1,0,21,3,2394,91,22,2,RT,BFT,Treat(Fresh)Stim,277.987,22.014,300.001,0.92662,0.07338,11,10,0,40.903,2.2014,-20.491,-0.482084
1,1,0,21,3,2395,91,22,3,RT,BFT,Treat(Fresh)Post,277.425,22.575,300,0.925,0.075,11,11,0,44.081,2.052273,-19.93,-0.468886
1,1,0,21,3,2396,92,23,1,RT,BFT,Treat(Fresh)Pre,276.201,23.799,300,0.921,0.079,13,12,0,45.54,1.98325,NA,NA
1,1,0,21,3,2397,92,23,2,RT,BFT,Treat(Fresh)Stim,297.701,2.3,300.001,0.992333,0.007667,2,1,0,187.021,2.3,-21.499,-0.903357
1,1,0,21,3,2398,92,23,3,RT,BFT,Treat(Fresh)Post,295.14,4.86,300,0.984,0.016,3,2,0,11.24,2.43,-18.939,-0.79579
1,1,0,21,3,2399,93,24,1,RT,BFT,Treat(Fresh)Pre,274.058,25.942,300,0.914,0.086,15,14,0,9.564,1.853,NA,NA
1,1,0,21,3,2400,93,24,2,RT,BFT,Treat(Fresh)Stim,300.001,0,300.001,1,0,1,0,0,NA,0,-25.942,-1
1,1,0,21,3,2401,93,24,3,RT,BFT,Treat(Fresh)Post,294.616,5.384,300,0.982,0.018,7,6,0,108.921,0.897333,-20.558,-0.79246
1,1,0,21,3,2402,94,25,1,RT,BFT,Treat(Fresh)Pre,295.641,4.359,300,0.985,0.015,2,1,0,28.341,4.359,NA,NA
1,1,0,21,3,2403,94,25,2,RT,BFT,Treat(Fresh)Stim,292.563,7.438,300.001,0.975207,0.024793,4,3,0,67.142,2.479333,3.079,0.706355
